State,Industry,Date,Workhrs,Locations,Employees,policy,dailynewcases,dailynewdeaths,lndailynewcases,lndailynewdeaths,day,dayofyear,month,week,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,retail and recreation,grocery and pharmacy,parks,transit stations,workplaces,residential,stateFull
AK,Food & Drink,2020-03-01,0.006,0.101,0.01,0,0,0,0,0,0,61,3,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,14,6,16,5,-1,Alaska
AK,Food & Drink,2020-03-02,0.048,0.096,0.057,0,0,0,0,0,1,62,3,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,4,6,1,0,Alaska
AK,Food & Drink,2020-03-03,0.041,0.071,0.046,0,0,0,0,0,2,63,3,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,-2,3,3,0,Alaska
AK,Food & Drink,2020-03-04,0.116,0.088,0.106,0,0,0,0,0,3,64,3,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,3,8,3,0,Alaska
AK,Food & Drink,2020-03-05,0.097,0.076,0.057,0,0,0,0,0,4,65,3,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,9,4,2,0,Alaska
AK,Food & Drink,2020-03-06,0.048,0.081,0.031,0,0,0,0,0,5,66,3,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,10,9,0,1,Alaska
AK,Food & Drink,2020-03-07,0.098,0.047,0.086,0,0,0,0,0,6,67,3,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,17,9,3,-1,Alaska
AK,Food & Drink,2020-03-08,0.13,0.069,0.038,0,0,0,0,0,7,68,3,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,34,9,2,-1,Alaska
AK,Food & Drink,2020-03-09,0.114,0.081,0.09,0,0,0,0,0,8,69,3,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,14,3,-10,2,Alaska
AK,Food & Drink,2020-03-10,0.09,0.1,0.087,0,0,0,0,0,9,70,3,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,11,2,-7,2,Alaska
AK,Food & Drink,2020-03-11,0.163,0.117,0.151,0,0,0,0,0,10,71,3,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,16,3,-8,2,Alaska
AK,Food & Drink,2020-03-12,0.097,0.09,0.103,0,0,0,0,0,11,72,3,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,19,21,-1,-9,2,Alaska
AK,Food & Drink,2020-03-13,0.05,0.054,0.026,0,0,0,0,0,12,73,3,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,16,0,-10,3,Alaska
AK,Food & Drink,2020-03-14,0.046,0.033,0.052,0,0,0,0,0,13,74,3,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,37,1,-1,1,Alaska
AK,Food & Drink,2020-03-15,-0.027,0.004,-0.015,0,0,0,0,0,14,75,3,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,58,7,-1,0,Alaska
