Date,stateAbbr,population,spend_acf,spend_aer,spend_all,spend_all_inchigh,spend_all_inclow,spend_all_incmiddle,spend_apg,spend_grf,spend_hcs,spend_tws,statefips,year,month,day,policy,lndailynewdeaths,dailynewdeaths,lndailynewcases,deaths,cases,dailynewcases,day_,dayofyear
2020-01-24,AK,731545,0.00486,0.0552,-0.0242,-.00965,.,-0.0652,0.155,-0.0326,-0.151,-0.0709,2,2020,1,24,0,0.0,0,0.0,0,0,,0,24
2020-01-25,AK,731545,-0.0689,0.0198,-0.0447,-.0425,.,-0.058,0.147,-0.0379,-0.0826,-0.174,2,2020,1,25,0,0.0,0,0.0,0,0,,1,25
2020-01-26,AK,731545,-0.113,0.0652,-0.0271,-.0226,.,-0.0443,0.195,-0.0223,-0.0965,-0.136,2,2020,1,26,0,0.0,0,0.0,0,0,,2,26
2020-01-27,AK,731545,-0.146,0.15,-0.0282,-.0397,.,-0.0142,0.187,-0.0176,-0.105,-0.145,2,2020,1,27,0,0.0,0,0.0,0,0,,3,27
2020-01-28,AK,731545,-0.171,-0.0768,-0.0166,-.0458,.,0.0361,0.15,0.00273,-0.00536,-0.0776,2,2020,1,28,0,0.0,0,0.0,0,0,,4,28
2020-01-29,AK,731545,-0.128,-0.232,-0.0338,-.0665,.,0.0239,0.0209,0.0214,0.0607,-0.141,2,2020,1,29,0,0.0,0,0.0,0,0,,5,29
2020-01-30,AK,731545,-0.113,-0.273,-0.0014,-.0514,.,0.0981,0.0564,0.0418,0.103,-0.124,2,2020,1,30,0,0.0,0,0.0,0,0,,6,30
2020-01-31,AK,731545,-0.0682,-0.19,0.0164,-.03,.,0.12,-0.00633,0.0631,0.00939,-0.0607,2,2020,1,31,0,0.0,0,0.0,0,0,,7,31
2020-02-01,AK,731545,0.0435,-0.243,0.0278,-.0102,.,0.108,-0.0149,0.0699,-0.16399999999999998,0.0747,2,2020,2,1,0,0.0,0,0.0,0,0,,8,32
2020-02-02,AK,731545,0.105,-0.276,0.008140000000000001,-.0251,.,0.0747,-0.0312,0.0357,-0.15,-0.00134,2,2020,2,2,0,0.0,0,0.0,0,0,,9,33
2020-02-03,AK,731545,0.157,-0.273,0.0349,.00589,.,0.0895,-0.0479,0.045,-0.267,0.0361,2,2020,2,3,0,0.0,0,0.0,0,0,,10,34
2020-02-04,AK,731545,0.135,-0.2,0.00811,-.0127,.,0.0453,-0.0396,0.0542,-0.409,-0.00466,2,2020,2,4,0,0.0,0,0.0,0,0,,11,35
2020-02-05,AK,731545,0.0966,-0.266,0.0184,.00478,.,0.0449,-0.066,0.0527,-0.423,0.0678,2,2020,2,5,0,0.0,0,0.0,0,0,,12,36
2020-02-06,AK,731545,0.0937,-0.03,-0.0043,-.00114,.,-0.0152,-0.139,0.0506,-0.494,0.031,2,2020,2,6,0,0.0,0,0.0,0,0,,13,37
2020-02-07,AK,731545,0.0854,-0.0935,0.00307,.0132,.,-0.0216,-0.111,0.0111,-0.5429999999999999,0.014,2,2020,2,7,0,0.0,0,0.0,0,0,,14,38
2020-02-08,AK,731545,0.0418,0.0214,0.019,.0239,.,0.00827,-0.0748,0.00432,-0.517,-0.0342,2,2020,2,8,0,0.0,0,0.0,0,0,,15,39
2020-02-09,AK,731545,0.0217,0.0318,0.0405,.0451,.,0.0304,-0.0818,0.0294,-0.516,0.037000000000000005,2,2020,2,9,0,0.0,0,0.0,0,0,,16,40
2020-02-10,AK,731545,0.0279,0.0404,0.0157,.0495,.,-0.0447,-0.0423,0.0113,-0.495,0.0367,2,2020,2,10,0,0.0,0,0.0,0,0,,17,41
2020-02-11,AK,731545,0.0469,0.0631,0.055,.0978,.,-0.0202,-0.00964,-0.00799,-0.332,0.108,2,2020,2,11,0,0.0,0,0.0,0,0,,18,42
2020-02-12,AK,731545,-0.0486,0.332,0.0488,.0996,.,-0.0449,0.0291,-0.019,-0.377,0.175,2,2020,2,12,0,0.0,0,0.0,0,0,,19,43
2020-02-13,AK,731545,-0.0467,0.0933,0.0656,.113,.,-0.0223,0.126,-0.0206,-0.399,0.131,2,2020,2,13,0,0.0,0,0.0,0,0,,20,44
2020-02-14,AK,731545,-0.053,0.0724,0.0687,.108,.,-0.00848,0.193,-0.0204,-0.202,0.199,2,2020,2,14,0,0.0,0,0.0,0,0,,21,45
2020-02-15,AK,731545,0.0265,-0.0124,0.0566,.106,.,-0.0451,0.128,-0.0177,-0.14800000000000002,0.218,2,2020,2,15,0,0.0,0,0.0,0,0,,22,46
2020-02-16,AK,731545,0.0319,0.0884,0.0505,.0941,.,-0.0371,0.105,0.004370000000000001,-0.15,0.209,2,2020,2,16,0,0.0,0,0.0,0,0,,23,47
2020-02-17,AK,731545,0.0293,-0.00661,0.0677,.068,.,0.0633,0.0152,0.0556,-0.103,0.232,2,2020,2,17,0,0.0,0,0.0,0,0,,24,48
2020-02-18,AK,731545,0.0717,0.0554,0.054000000000000006,.0637,.,0.0288,0.0321,0.013,-0.207,0.118,2,2020,2,18,0,0.0,0,0.0,0,0,,25,49
2020-02-19,AK,731545,0.0804,-0.00116,0.0464,.0487,.,0.0379,0.0127,0.00312,-0.192,0.0613,2,2020,2,19,0,0.0,0,0.0,0,0,,26,50
2020-02-20,AK,731545,0.0963,-0.0119,0.0251,.0272,.,0.0181,0.0207,0.00238,-0.136,0.0688,2,2020,2,20,0,0.0,0,0.0,0,0,,27,51
2020-02-21,AK,731545,0.0739,0.149,0.000361,.00416,.,-0.0103,-0.0332,0.0109,-0.282,0.0137,2,2020,2,21,0,0.0,0,0.0,0,0,,28,52
2020-02-22,AK,731545,0.00948,0.14400000000000002,0.0137,.0104,.,0.0177,0.0225,0.0413,-0.34600000000000003,0.0318,2,2020,2,22,0,0.0,0,0.0,0,0,,29,53
2020-02-23,AK,731545,-0.0022600000000000003,-0.0476,0.00231,-.00492,.,0.0127,0.0283,0.0246,-0.358,-0.0353,2,2020,2,23,0,0.0,0,0.0,0,0,,30,54
2020-02-24,AK,731545,-0.047,-0.0396,-0.0197,-.0422,.,0.0152,0.0468,0.0235,-0.376,-0.0447,2,2020,2,24,0,0.0,0,0.0,0,0,,31,55
2020-02-25,AK,731545,-0.0546,-0.153,-0.0155,-.019,.,-0.0186,-0.00348,0.0469,-0.32,-0.12,2,2020,2,25,0,0.0,0,0.0,0,0,,32,56
2020-02-26,AK,731545,0.013,-0.18600000000000005,-0.0314,-.0311,.,-0.041,0.0055,0.0921,-0.32,-0.139,2,2020,2,26,0,0.0,0,0.0,0,0,,33,57
2020-02-27,AK,731545,-0.00294,-0.274,-0.0216,-.0141,.,-0.0464,0.0354,0.103,-0.29100000000000004,-0.0877,2,2020,2,27,0,0.0,0,0.0,0,0,,34,58
2020-02-28,AK,731545,0.00245,-0.336,-0.032,-.0257,.,-0.0545,0.0689,0.132,-0.327,-0.112,2,2020,2,28,0,0.0,0,0.0,0,0,,35,59
2020-02-29,AK,731545,0.0267,-0.271,-0.00324,.00515,.,-0.0302,0.0497,0.14,-0.29600000000000004,-0.0694,2,2020,2,29,0,0.0,0,0.0,0,0,,36,60
2020-03-01,AK,731545,-0.0256,-0.249,-0.033,-.0199,.,-0.0669,0.0341,0.0987,-0.295,-0.0506,2,2020,3,1,0,0.0,0,0.0,0,0,,37,61
